Sales Person,Country,Product,Date,Amount,Boxes Shipped,Month,Year,Price_Per_Box
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320.0,180,1,2022,29.555555555555557
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94,8,2022,84.0
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91,7,2022,49.46153846153846
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342,4,2022,37.21052631578947
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184,2,2022,74.375
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38,6,2022,141.47368421052633
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176,1,2022,77.75568181818181
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73,3,2022,42.19178082191781
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59,4,2022,67.62711864406779
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835.0,102,7,2022,27.794117647058822
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62,1,2022,75.87096774193549
Barr Faughny,USA,Orange Choco,2022-03-10,3703.0,11,3,2022,336.6363636363636
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286,1,2022,5.041958041958042
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156,7,2022,1.0769230769230769
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173,8,2022,48.433526011560694
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356,1,2022,19.073033707865168
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42,2,2022,96.83333333333333
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017.0,140,4,2022,21.55
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250,2,2022,35.196
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085.0,172,6,2022,6.308139534883721
Brien Boise,Australia,Eclairs,2022-06-27,6888.0,88,6,2022,78.27272727272727
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267.0,157,2,2022,8.070063694267516
Marney O'Breen,USA,After Nines,2022-05-30,4753.0,163,5,2022,29.15950920245399
Husein Augar,UK,Drinking Coco,2022-03-14,3003.0,113,3,2022,26.575221238938052
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115,2,2022,66.71304347826087
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321,1,2022,0.5233644859813084
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652.0,186,2,2022,8.881720430107526
Husein Augar,USA,Eclairs,2022-07-07,4025.0,112,7,2022,35.9375
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,9492.0,151,7,2022,62.86092715231788
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,5061.0,301,6,2022,16.813953488372093
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722.0,121,5,2022,14.231404958677686
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446.0,150,6,2022,82.97333333333333
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,4284.0,94,5,2022,45.57446808510638
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839.0,133,6,2022,51.421052631578945
